,valid_loss_d,valid_loss_g,train_loss_d,train_loss_g
0,3.0870549380779266e-05,-0.47524145245552063,-0.00015915018351127705,-0.5515975207090378
1,-1.7070211470127106e-05,-0.8690506815910339,2.399440078685681e-05,-0.5824684233715137
2,2.0856037735939026e-05,-0.6149152517318726,7.001741323620081e-06,-0.6744146204243103
3,4.8050656914711e-05,-0.5805630683898926,8.275286139299473e-06,-0.6792153169711431
4,-7.769092917442322e-06,-0.6844334602355957,2.096096674601237e-06,-0.7200214962164561
5,-1.8689781427383423e-05,-0.7503603100776672,1.169170718640089e-05,-0.7508389900128046
6,9.626150131225586e-06,-0.6023908257484436,-8.111567391703526e-06,-0.7930088539918264
7,-2.5816261768341064e-06,-0.787088930606842,-1.6095000319182873e-06,-0.7846487959225973
8,-2.107582986354828e-05,-0.562424898147583,5.144819927712281e-06,-0.8596359826624393
9,-2.7365051209926605e-05,-0.848189651966095,-1.779503266637524e-05,-0.8246143981814384
10,9.338371455669403e-06,-0.6090127825737,1.0002850710103909e-05,-0.890638797233502
11,6.520189344882965e-06,-0.7239344120025635,-1.679038784156243e-06,-0.8347645985583464
12,1.126062124967575e-05,-0.7427217364311218,5.5418543828030424e-06,-0.8922277291615804
13,-4.047621041536331e-05,-0.6390413641929626,3.494923779120048e-06,-0.9442984710137049
14,-1.8343329429626465e-05,-0.6693264842033386,-9.053037501871586e-07,-0.9658878035843372
15,-1.897849142551422e-05,-0.5731475353240967,5.813082680106163e-06,-0.9420518589516481
16,-1.4103949069976807e-05,-0.7701613903045654,5.108498347302278e-06,-1.0033464555939038
17,-8.861534297466278e-06,-0.7070669531822205,1.5133991837501526e-09,-0.9356447805960973
18,-1.4214776456356049e-05,-0.7170491218566895,-8.844886906445026e-06,-0.9175477748115858
19,-3.026239573955536e-05,-0.7530872225761414,-4.1533106317122776e-07,-0.9803522812823454
20,7.554888725280762e-06,-0.6797183752059937,1.5034088088820377e-05,-0.9825794200102488
21,7.691793143749237e-06,-0.5845519304275513,-5.525071173906326e-06,-1.0010375777880351
22,3.4067779779434204e-06,-0.7042950391769409,-1.6383690914760034e-05,-0.9892139012614886
23,-2.8692185878753662e-05,-0.5229607820510864,-1.4230376109480858e-05,-1.0010181069374084
24,4.163011908531189e-06,-0.8880786895751953,5.792923426876466e-06,-0.9821982309222221
25,2.4355947971343994e-05,-0.7828740477561951,-1.2882829954226812e-05,-1.0144541425009568
26,2.820882946252823e-05,-0.6895155906677246,-1.2920451505730549e-05,-1.001104104022185
