,valid_loss_d,valid_loss_g,train_loss_d,train_loss_g
0,8.019618690013885e-06,-0.5325064063072205,5.2220828365534544e-05,-0.4749885356674592
1,-1.5550293028354645e-05,-0.7628779411315918,1.4579854905605316e-06,-0.5395934656262398
2,6.386078894138336e-06,-0.8501815795898438,-3.3804293101032576e-06,-0.6312161690245072
3,7.421709597110748e-06,-0.5051090717315674,-2.079024367655317e-05,-0.6363345130036274
4,4.4580549001693726e-05,-0.9428868293762207,1.3218474729607502e-05,-0.6563947933415571
5,-6.234273314476013e-06,-0.6194853186607361,1.4402205124497414e-05,-0.7884427507718405
6,-4.5862048864364624e-05,-0.567649245262146,-1.151547379170855e-05,-0.6977991107851267
7,-4.198402166366577e-05,-0.7324936389923096,1.902028452605009e-05,-0.6867742451528708
8,4.963018000125885e-05,-0.43456435203552246,6.474069474885861e-06,-0.7631987780332565
9,1.0685063898563385e-05,-0.7194892764091492,1.2354556626329819e-05,-0.7846528937419256
10,-4.089437425136566e-06,-1.1205061674118042,3.47084521005551e-06,-0.838457784925898
11,-1.606810837984085e-05,-0.7274153828620911,6.738700903952122e-07,-0.8393718947966894
12,8.612871170043945e-06,-0.5807982683181763,7.759469250837961e-07,-0.8368447348475456
13,1.980923116207123e-06,-0.7568790912628174,-1.5373225323855877e-06,-0.90819068501393
14,3.919750452041626e-05,-0.7732971906661987,8.399346067259708e-06,-0.963183638950189
15,-2.540741115808487e-05,-0.5314531922340393,-1.7406380114456017e-05,-0.9191720473269621
16,-6.107613444328308e-06,-0.7537764310836792,1.2669013813138008e-05,-0.9040595206121603
17,9.997747838497162e-06,-0.5907438397407532,9.611811644087235e-06,-0.9237822865446409
18,3.3993273973464966e-07,-0.5798444747924805,-5.906700001408656e-06,-0.9435259389380614
19,3.875419497489929e-05,-0.5852152705192566,1.5957610836873453e-05,-0.9245467757185301
20,-3.364868462085724e-06,-0.6777430772781372,1.2338180871059498e-05,-1.0183702024320762
21,-1.5750527381896973e-05,-0.5579944252967834,-8.912737636516491e-06,-0.9510837073127428
22,2.455059438943863e-05,-0.751349687576294,-1.9931622470418613e-05,-0.9673033306996027
23,6.0247257351875305e-06,-0.8065158128738403,8.596146168808142e-06,-1.0127437710762024
24,-6.042420864105225e-06,-0.7067228555679321,2.903242905934652e-06,-0.9876825946072737
25,-2.1550804376602173e-06,-0.5421739220619202,3.6806450225412846e-06,-0.9969893271724383
26,-3.1692907214164734e-05,-0.6137537956237793,9.450421202927828e-06,-1.0632514841854572
27,3.889109939336777e-05,-0.8481369018554688,-6.600360696514447e-06,-0.9712089188396931
28,-7.88271427154541e-06,-0.5715629458427429,1.6113432745138805e-06,-1.0438063715895016
29,-1.8977560102939606e-05,-0.585734486579895,8.944499616821608e-06,-1.0615245873729389
30,-2.529378980398178e-05,-0.7578097581863403,3.893859684467316e-06,-1.0008446350693703
31,-3.4139491617679596e-05,-0.5093551278114319,-7.085618562996387e-07,-1.0711717133720715
32,1.244526356458664e-05,-0.7417378425598145,1.5915914749105772e-07,-1.0380245099465053
33,-3.4417957067489624e-05,-0.6365495920181274,4.995556082576513e-06,-1.0406167892118294
34,2.4631619453430176e-05,-0.6717333197593689,3.128545358777046e-06,-1.0475457819799583
35,-1.3426877558231354e-05,-0.765873908996582,-1.0061485227197409e-05,-1.0404266665379207
36,-4.980713129043579e-06,-0.44252386689186096,-1.0426912922412157e-05,-1.0355176565547783
37,1.0059215128421783e-05,-0.5685833692550659,-7.451802957803011e-06,-1.008421253412962
38,-1.8846243619918823e-05,-0.5860728025436401,-1.2431526556611061e-05,-1.0389963028331597
39,1.8551945686340332e-06,-0.6207504868507385,-3.325733511398236e-06,-1.0804211236536503
40,6.75395131111145e-06,-0.8759852647781372,3.293020805964867e-06,-1.0252053650716941
41,2.784840762615204e-05,-0.5849369764328003,-1.315628954519828e-06,-1.0508879857758682
42,7.80448317527771e-07,-0.595970869064331,-1.068376392746965e-05,-1.037268868337075
43,-8.802860975265503e-06,-0.8908629417419434,1.4406396076083183e-07,-1.058922078460455
44,1.9045546650886536e-06,-0.3678533732891083,-5.616069150467714e-07,-1.023204476883014
45,-1.3647601008415222e-05,-0.7805162072181702,6.9131492637097836e-06,-1.0914516138533752
46,2.1741725504398346e-05,-0.3959978222846985,-7.785352257390818e-06,-1.0486430451273918
47,-1.2180767953395844e-05,-0.8832705020904541,3.0055525712668896e-06,-1.0690377354621887
48,-1.1364929378032684e-05,-0.3538888096809387,6.111493955055873e-06,-1.0990597332517307
49,3.0695460736751556e-05,-0.8361947536468506,-4.856032319366932e-06,-1.0655295389393966
50,-1.4780089259147644e-06,-0.5737684369087219,5.31635790442427e-06,-1.0900300070643425
51,3.6265701055526733e-06,-0.6175281405448914,1.705082831904292e-05,-1.055000051856041
52,-4.920177161693573e-06,-0.7389099597930908,8.025633481641611e-06,-1.056966698418061
53,-2.753082662820816e-05,-0.6811933517456055,3.580042781929175e-06,-1.0736790113151073
54,-3.026798367500305e-07,-0.5663208961486816,8.971799009790024e-06,-1.143329180777073
